id,english,draft,ok_or_your_version
HOW-TO-USE,"In the last column: type OK if the draft is right. If it is wrong or empty, type how YOU would say it. Leave blank if unsure. Rows starting with CRITICAL are safety warnings - do those first.",,
CRITICAL ibo-s01,"I do not have local guidance on that in my documents, so I cannot give you a reliable answer. Please ask your local extension officer.",,
CRITICAL ibo-s02,Some sources mention pesticides that are banned or severely restricted in many countries. Do not use them. Ask your local extension officer which products are currently registered for your crop.,,
CRITICAL ibo-s03,"This answer contained application rates that are not stated in the source documents, so they have been removed. Never guess a dose - ask an extension officer or read the product label.",,
CRITICAL ibo-s04,Chemical control guidance here comes from older documents. Pesticide registrations change; confirm with an extension officer before applying anything.,,
CRITICAL ibo-s05,"I cannot tell you how much to use. The correct amount depends on the specific product and what is registered for your crop or animal. Read the product label, or ask your extension officer.",,
CRITICAL ibo-s06,"IMPORTANT: after treating an animal with medicine, there is a withdrawal period before its milk or meat is safe for people to consume. Ask a veterinary officer how long to wait before selling or drinking the milk, or slaughtering the animal.",,
CRITICAL ibo-s07,"If you feel unwell after handling farm chemicals, stop work, wash thoroughly, and go to a clinic or hospital now. Take the product container with you so they know what you were exposed to.",,
ibo-s08,"I do not cover that crop. My documents are about cassava, maize, yam, tomato, rice, cowpea, groundnut, pepper and okra, and about livestock. Please ask your extension officer.",,
ibo-a01,"Your cassava has mosaic disease. The leaves become yellow and twisted, and the plant stays small.",,
ibo-a02,Remove the infected plants and destroy them away from your farm.,,
ibo-a03,Only take stem cuttings from healthy plants that show no symptoms.,,
ibo-a04,Whiteflies carry the virus from one plant to another.,,
ibo-a05,These signs suggest Newcastle disease. Separate the sick birds immediately and dispose of dead birds properly.,,
ibo-a06,"Store the maize and sell it later, but dry it well first so weevils do not spoil it.",,
ibo-a07,"Wait until the rains are steady before you plant, not after the first shower.",,
ibo-a08,Check your field every week and look under the leaves for insects.,,
word-cassava,cassava,,
word-maize,maize,,
word-yam,yam,,
word-tomato,tomato,,
word-leaves,leaves,,
word-stem-cutting,stem cutting,,
word-disease,disease,,
word-pest--insect,pest / insect,,
word-wilting,wilting,,
word-yellowing,yellowing,,
word-rot,rot,,
word-to-spray,to spray,,
word-pesticide,pesticide,,
word-extension-officer,extension officer,,
word-veterinary-officer,veterinary officer,,
word-harvest,harvest,,
word-planting-material,planting material,,
word-weeding,weeding,,
word-soil,soil,,
word-chickens,chickens,,
word-goat,goat,,
word-withdrawal-period,withdrawal period,,
