id,english,draft_pidgin,ok_or_your_version
HOW-TO-USE,"In the last column: type OK if the Pidgin is right. If it is wrong, type how YOU would say it instead. Leave blank if unsure. Rows starting with CRITICAL are safety warnings - do those first.",,
CRITICAL pcm-s01,"I do not have local guidance on that in my documents, so I cannot give you a reliable answer. Please ask your local extension officer.","I no get information about dis one for di book wey I get, so I no fit give you answer wey you fit trust. Abeg go meet your extension officer.",
CRITICAL pcm-s02,Some sources mention pesticides that are banned or severely restricted in many countries. Do not use them. Ask your local extension officer which products are currently registered for your crop.,"Some of di medicine wey dis book talk about, plenty country don ban am. No use am at all. Ask your extension officer which one dem allow for your crop now.",
CRITICAL pcm-s03,"This answer contained application rates that are not stated in the source documents, so they have been removed. Never guess a dose - ask an extension officer or read the product label.","Di answer bin get quantity wey no dey inside di book, so I comot am. Never guess how much you go use - ask extension officer or read wetin dem write for di container.",
CRITICAL pcm-s04,"IMPORTANT: after treating an animal with medicine, there is a withdrawal period before its milk or meat is safe for people to consume. Ask a veterinary officer how long to wait before selling or drinking the milk, or slaughtering the animal.","IMPORTANT: after you give animal medicine, e get time wey you must wait before di milk or di meat go safe for person to chop. Ask veterinary officer how many day you go wait before you sell am, drink di milk, or kill di animal.",
CRITICAL pcm-s05,Chemical control guidance here comes from older documents. Pesticide registrations change; confirm with an extension officer before applying anything.,"Dis advice about chemical come from old book. Di rule for pesticide dey change, so confirm with extension officer before you use anything.",
CRITICAL pcm-s06,"I cannot tell you how much to use. The correct amount depends on the specific product and what is registered for your crop or animal. Read the product label, or ask your extension officer.","I no fit tell you how much you go use. Di correct quantity depend on di particular product and wetin dem register for your crop or your animal. Read di label for di container, or ask your extension officer.",
CRITICAL pcm-s07,"If you feel unwell after handling farm chemicals, stop work, wash thoroughly, and go to a clinic or hospital now. Take the product container with you so they know what you were exposed to.","If your body no dey okay after you touch farm chemical, stop work, wash yourself well well, and go clinic or hospital now now. Carry di container go so dem go sabi wetin enter your body.",
pcm-a01,"Your cassava has mosaic disease. The leaves become yellow and twisted, and the plant stays small.","Na mosaic disease dey worry your cassava. Di leaf go turn yellow and twist, and di plant no go grow big.",
pcm-a02,Remove the infected plants and destroy them away from your farm.,"Comot di plant wey don catch di sickness, carry am go far from your farm, then destroy am.",
pcm-a03,Only take stem cuttings from healthy plants that show no symptoms.,"Na only from plant wey healthy, wey no show any sign of sickness, you go cut stem take plant.",
pcm-a04,Whiteflies carry the virus from one plant to another.,Na whitefly dey carry di virus from one plant go anoda one.,
pcm-a05,These signs suggest Newcastle disease. Separate the sick birds immediately and dispose of dead birds properly.,"Dis sign dem show say na Newcastle disease. Separate di fowl wey sick sharp sharp, and bury di ones wey don die well well.",
pcm-a06,"Store the maize and sell it later, but dry it well first so weevils do not spoil it.","Keep di corn make you sell am later, but dry am well well first so weevil no go spoil am.",
pcm-a07,"Wait until the rains are steady before you plant, not after the first shower.","Wait make di rain steady before you plant, no be after di first rain wey fall.",
pcm-a08,Check your field every week and look under the leaves for insects.,"Check your farm every week, and look under di leaf make you see if insect dey.",
word-cassava,cassava,cassava,
word-maize,maize,corn,
word-yam,yam,yam,
word-tomato,tomato,tomato,
word-leaves,leaves,leaf,
word-stem-cutting,stem cutting,stem wey dem cut,
word-disease,disease,sickness,
word-pest--insect,pest / insect,insect,
word-wilting,wilting,di plant dey bow,
word-yellowing,yellowing,e dey turn yellow,
word-rot,rot,e don rotten,
word-to-spray,to spray,spray,
word-pesticide,pesticide,medicine for insect,
word-extension-officer,extension officer,extension officer,
word-veterinary-officer,veterinary officer,vet doctor,
word-harvest,harvest,harvest,
word-planting-material,planting material,wetin you go plant,
word-weeding,weeding,clear grass,
word-soil,soil,ground,
word-chickens,chickens,fowl,
word-goat,goat,goat,
word-withdrawal-period,withdrawal period,di time wey you go wait before you chop am,
