id,priority,what_this_is_for,english,draft_pidgin,draft_ok_yes_no,your_version_if_not_ok,notes
READ-ME,,INSTRUCTIONS,"The 'draft_pidgin' column was written by the model, NOT by a speaker. For each row put yes or no in 'draft_ok_yes_no'. If no, write how you would really say it in 'your_version_if_not_ok'. Rows marked CRITICAL are safety warnings - if a farmer would not understand them, someone could get hurt. Leave anything you are unsure about blank.",,,,
pcm-s01,CRITICAL,Refusal - shown when the corpus cannot answer,"I do not have local guidance on that in my documents, so I cannot give you a reliable answer. Please ask your local extension officer.","I no get information about dis one for di book wey I get, so I no fit give you answer wey you fit trust. Abeg go meet your extension officer.",,,
pcm-s02,CRITICAL,Banned or restricted pesticide warning,Some sources mention pesticides that are banned or severely restricted in many countries. Do not use them. Ask your local extension officer which products are currently registered for your crop.,"Some of di medicine wey dis book talk about, plenty country don ban am. No use am at all. Ask your extension officer which one dem allow for your crop now.",,,
pcm-s03,CRITICAL,Dosage redaction - a rate was invented and removed,"This answer contained application rates that are not stated in the source documents, so they have been removed. Never guess a dose - ask an extension officer or read the product label.","Di answer bin get quantity wey no dey inside di book, so I comot am. Never guess how much you go use - ask extension officer or read wetin dem write for di container.",,,
pcm-s04,CRITICAL,Veterinary withdrawal period,"IMPORTANT: after treating an animal with medicine, there is a withdrawal period before its milk or meat is safe for people to consume. Ask a veterinary officer how long to wait before selling or drinking the milk, or slaughtering the animal.","IMPORTANT: after you give animal medicine, e get time wey you must wait before di milk or di meat go safe for person to chop. Ask veterinary officer how many day you go wait before you sell am, drink di milk, or kill di animal.",,,
pcm-s05,CRITICAL,Stale chemical guidance,Chemical control guidance here comes from older documents. Pesticide registrations change; confirm with an extension officer before applying anything.,"Dis advice about chemical come from old book. Di rule for pesticide dey change, so confirm with extension officer before you use anything.",,,
pcm-s06,CRITICAL,Dosage question refused before answering,"I cannot tell you how much to use. The correct amount depends on the specific product and what is registered for your crop or animal. Read the product label, or ask your extension officer.","I no fit tell you how much you go use. Di correct quantity depend on di particular product and wetin dem register for your crop or your animal. Read di label for di container, or ask your extension officer.",,,
pcm-s07,CRITICAL,Human medical - pesticide exposure,"If you feel unwell after handling farm chemicals, stop work, wash thoroughly, and go to a clinic or hospital now. Take the product container with you so they know what you were exposed to.","If your body no dey okay after you touch farm chemical, stop work, wash yourself well well, and go clinic or hospital now now. Carry di container go so dem go sabi wetin enter your body.",,,
pcm-a01,normal,Disease identification,"Your cassava has mosaic disease. The leaves become yellow and twisted, and the plant stays small.","Na mosaic disease dey worry your cassava. Di leaf go turn yellow and twist, and di plant no go grow big.",,,
pcm-a02,normal,Cultural control instruction,Remove the infected plants and destroy them away from your farm.,"Comot di plant wey don catch di sickness, carry am go far from your farm, then destroy am.",,,
pcm-a03,normal,Clean planting material,Only take stem cuttings from healthy plants that show no symptoms.,"Na only from plant wey healthy, wey no show any sign of sickness, you go cut stem take plant.",,,
pcm-a04,normal,Vector explanation,Whiteflies carry the virus from one plant to another.,Na whitefly dey carry di virus from one plant go anoda one.,,,
pcm-a05,normal,Poultry disease,These signs suggest Newcastle disease. Separate the sick birds immediately and dispose of dead birds properly.,"Dis sign dem show say na Newcastle disease. Separate di fowl wey sick sharp sharp, and bury di ones wey don die well well.",,,
pcm-a06,normal,Market decision,"Store the maize and sell it later, but dry it well first so weevils do not spoil it.","Keep di corn make you sell am later, but dry am well well first so weevil no go spoil am.",,,
pcm-a07,normal,Timing / weather,"Wait until the rains are steady before you plant, not after the first shower.","Wait make di rain steady before you plant, no be after di first rain wey fall.",,,
pcm-a08,normal,Scouting instruction,Check your field every week and look under the leaves for insects.,"Check your farm every week, and look under di leaf make you see if insect dey.",,,
term-cassava,terminology,Word used in almost every answer,cassava,cassava,,,
term-maize,terminology,Word used in almost every answer,maize,corn,,,
term-yam,terminology,Word used in almost every answer,yam,yam,,,
term-tomato,terminology,Word used in almost every answer,tomato,tomato,,,
term-leaves,terminology,Word used in almost every answer,leaves,leaf,,,
term-stem-cutting,terminology,Word used in almost every answer,stem cutting,stem wey dem cut,,,
term-disease,terminology,Word used in almost every answer,disease,sickness,,,
term-pest--insect,terminology,Word used in almost every answer,pest / insect,insect,,,
term-wilting,terminology,Word used in almost every answer,wilting,di plant dey bow,,,
term-yellowing,terminology,Word used in almost every answer,yellowing,e dey turn yellow,,,
term-rot,terminology,Word used in almost every answer,rot,e don rotten,,,
term-to-spray,terminology,Word used in almost every answer,to spray,spray,,,
term-pesticide,terminology,Word used in almost every answer,pesticide,medicine for insect,,,
term-extension-officer,terminology,Word used in almost every answer,extension officer,extension officer,,,
term-veterinary-officer,terminology,Word used in almost every answer,veterinary officer,vet doctor,,,
term-harvest,terminology,Word used in almost every answer,harvest,harvest,,,
term-planting-material,terminology,Word used in almost every answer,planting material,wetin you go plant,,,
term-weeding,terminology,Word used in almost every answer,weeding,clear grass,,,
term-soil,terminology,Word used in almost every answer,soil,ground,,,
term-chickens,terminology,Word used in almost every answer,chickens,fowl,,,
term-goat,terminology,Word used in almost every answer,goat,goat,,,
term-withdrawal-period,terminology,Word used in almost every answer,withdrawal period,di time wey you go wait before you chop am,,,
